Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     9.9034     0.0991     5.0000     8.0000    13.0000    63.0000     0.0000
 2.000 0.180    10.9762     0.1129     5.0000     9.0000    15.0000    81.0000     0.0000
 2.000 0.160    12.9474     0.1367     6.0000    10.0000    17.0000    79.0000     0.0000
 2.000 0.140    14.7832     0.1598     6.0000    12.0000    20.0000    91.0000     0.0000
 2.000 0.120    18.6582     0.1989     8.0000    15.0000    25.0000   124.0000     0.0000
 2.000 0.100    24.0202     0.2565    10.0000    20.0000    33.0000   155.0000     0.0000
 2.000 0.080    31.3180     0.3327    14.0000    26.0000    43.0000   173.0000     0.0000
 2.000 0.060    45.9538     0.4966    19.0000    39.0000    63.0000   279.0000     0.0000
 2.000 0.040    78.0088     0.8019    35.0000    66.0000   110.0000   402.0000     0.0000
 2.000 0.020   141.5322     1.3636    67.0000   124.0000   198.0000   642.0000     0.0000
 1.800 0.200    12.3746     0.1250     6.0000    10.0000    16.0000    76.0000     0.0000
 1.800 0.180    13.8488     0.1450     6.0000    11.0000    19.0000    95.0000     0.0000
 1.800 0.160    16.0930     0.1640     7.0000    13.0000    22.0000    89.0000     0.0000
 1.800 0.140    18.8160     0.1976     8.0000    15.0000    25.0000   138.0000     0.0000
 1.800 0.120    23.1502     0.2436    10.0000    19.0000    32.0000   149.0000     0.0000
 1.800 0.100    29.4024     0.3061    13.0000    25.0000    41.0000   173.0000     0.0000
 1.800 0.080    38.8042     0.3938    17.0000    33.0000    55.0000   200.0000     0.0000
 1.800 0.060    55.8868     0.5743    25.0000    48.0000    78.0000   291.0000     0.0000
 1.800 0.040    89.0334     0.8765    42.0000    77.0000   124.0000   427.0000     0.0000
 1.800 0.020   152.6794     1.4063    76.0000   139.0000   213.0000   724.0000     0.0000
 1.600 0.200    16.0680     0.1666     7.0000    13.0000    21.0000   101.0000     0.0000
 1.600 0.180    17.8524     0.1832     8.0000    15.0000    24.0000   108.0000     0.0000
 1.600 0.160    20.6862     0.2129     9.0000    17.0000    28.0000   102.0000     0.0000
 1.600 0.140    24.5020     0.2478    11.0000    21.0000    34.0000   140.0000     0.0000
 1.600 0.120    29.6216     0.3025    13.0000    25.0000    41.0000   166.0000     0.0000
