Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
    105.000000      330.127000         96.4084
    112.500000      424.520400        106.2259
    108.750000      373.191400        119.9556
    106.875000      354.147800        113.7970
    107.812500      358.707200        115.2438
    108.281250      362.740800        116.5521
    108.515625      364.851000        117.2377
    108.632812      366.485400        117.7464
    108.691406      374.411200        120.3238
    108.662109      369.936600        118.8507
 Final Limit:   108.662109375000       ARL:   369.936600000000     
