Amp  ARL  Std  Q1  Med  Q3  Max
 10.00    24.4792     0.3537     8.0000    17.0000    33.0000   367.0000
  9.50    24.6804     0.3571     7.0000    18.0000    34.0000   397.0000
  9.00    26.2398     0.3823     8.0000    18.0000    36.0000   292.0000
  8.50    26.2714     0.3776     8.0000    19.0000    35.0000   380.0000
  8.00    26.7492     0.3775     8.0000    19.0000    37.0000   227.0000
  7.50    27.3256     0.4032     8.0000    20.0000    36.0000   391.0000
  7.00    27.1286     0.3975     8.0000    20.0000    36.0000   470.0000
  6.50    27.1864     0.3783     9.0000    20.0000    37.0000   296.0000
  6.00    28.0546     0.4155     9.0000    20.0000    38.0000   522.0000
  5.50    28.6302     0.4071     9.0000    20.0000    38.0000   336.0000
  5.00    29.9972     0.3981    10.0000    22.0000    41.0000   320.0000
  4.50    30.9074     0.4538    10.0000    22.0000    41.0000   411.0000
  4.00    33.4022     0.4817    11.0000    24.0000    43.0000   433.0000
  3.50    35.1086     0.4903    12.0000    26.0000    46.0000   379.0000
  3.00    39.4314     0.5457    14.0000    29.0000    52.0000   422.0000
  2.50    47.9942     0.6895    16.0000    34.0000    63.0000   653.0000
  2.00    62.7602     0.8998    21.0000    44.0000    83.0000   754.0000
  1.50    99.8634     1.4628    30.0000    67.0000   133.0000  1037.0000
  1.00   170.0156     2.4391    47.0000   113.0000   238.0000  1540.0000
  0.50   197.7406     2.9376    55.0000   131.0000   270.0000  2000.0000
