Amp  ARL  Std  Q1  Med  Q3  Max Min
 10.00    22.9192     0.3446     8.0000    17.0000    29.0000   432.0000
  9.50    24.1618     0.3552     9.0000    18.0000    31.0000   414.0000
  9.00    25.1800     0.4037     9.0000    18.0000    32.0000   555.0000
  8.50    26.7402     0.4512     9.0000    19.0000    34.0000   789.0000
  8.00    28.9096     0.4737    10.0000    21.0000    36.0000   538.0000
  7.50    32.4642     0.5499    11.0000    22.0000    39.0000   482.0000
  7.00    36.3932     0.6731    12.0000    24.0000    43.0000   743.0000
  6.50    40.2784     0.6943    14.0000    27.0000    48.0000   845.0000
  6.00    46.6510     0.7929    16.0000    31.0000    55.0000   761.0000
  5.50    57.1540     0.9732    18.0000    37.0000    71.0000   932.0000
  5.00    74.2680     1.2857    22.0000    47.0000    91.0000  1074.0000
  4.50    96.1098     1.5558    27.0000    61.0000   124.0000  1171.0000
  4.00   122.7356     1.8438    35.0000    83.0000   163.0000  1239.0000
  3.50   154.6408     2.1767    45.0000   106.0000   215.0000  1310.0000
  3.00   176.9756     2.5212    50.0000   123.0000   241.0000  1447.0000
  2.50   185.9244     2.6529    52.0000   130.0000   260.0000  2000.0000
