Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   192.6340     4.3416    56.0000   133.0000   259.0000  2000.0000
  1.00   147.5285     3.4732    43.0000   102.0000   195.0000  1461.0000
  1.50    74.7950     1.7783    23.0000    50.0000    96.0000   810.0000
  2.00    43.1360     0.9743    16.0000    31.0000    55.0000   494.0000
  2.50    32.1655     0.6684    12.0000    24.0000    42.0000   291.0000
  3.00    26.6805     0.5391    10.0000    20.0000    36.0000   228.0000
  3.50    23.1260     0.4496     9.0000    18.0000    31.0000   197.0000
  4.00    21.5465     0.4156     8.0000    18.0000    30.0000   190.0000
  4.50    20.7050     0.4128     8.0000    16.0000    28.0000   193.0000
  5.00    19.7950     0.3916     7.0000    15.0000    27.0000   144.0000
  5.50    18.3480     0.3556     7.0000    14.0000    26.0000   218.0000
  6.00    18.3250     0.3687     7.0000    14.0000    25.0000   140.0000
  6.50    18.0435     0.3485     6.0000    14.0000    26.0000   168.0000
  7.00    17.6040     0.3244     6.0000    14.0000    25.0000    92.0000
  7.50    16.7915     0.3262     6.0000    13.0000    24.0000   126.0000
  8.00    16.9730     0.3342     6.0000    13.0000    24.0000   107.0000
  8.50    16.2130     0.3197     6.0000    12.0000    23.0000   122.0000
  9.00    16.4685     0.3280     5.0000    13.0000    23.0000   121.0000
  9.50    15.8455     0.2957     6.0000    13.0000    23.0000    92.0000
 10.00    15.9870     0.3121     6.0000    12.0000    22.0000   105.0000
