Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   207.1060     4.6161    57.0000   142.0000   290.0000  2000.0000
  1.00   204.1415     4.6655    58.0000   140.0000   276.0000  1693.0000
  1.50   200.3060     4.5510    56.0000   140.0000   277.0000  1330.0000
  2.00   186.5140     4.0828    54.0000   132.0000   268.0000  1450.0000
  2.50   176.6120     3.8721    50.0000   119.0000   248.0000  1199.0000
  3.00   139.9035     3.3380    41.0000    93.0000   181.0000  1444.0000
  3.50   100.2660     2.4632    31.0000    65.0000   128.0000  1129.0000
  4.00    74.8275     1.9943    23.0000    45.0000    91.0000  1054.0000
  4.50    48.4580     1.3112    16.0000    31.0000    58.0000   671.0000
  5.00    38.9570     1.0478    14.0000    26.0000    46.0000   486.0000
  5.50    31.4340     0.9371    11.0000    21.0000    37.0000   796.0000
  6.00    25.5605     0.7121    10.0000    18.0000    30.0000   633.0000
  6.50    22.9515     0.6164     9.0000    17.0000    28.0000   489.0000
  7.00    20.1160     0.5105     8.0000    15.0000    25.0000   361.0000
  7.50    18.3320     0.4511     7.0000    14.0000    23.0000   407.0000
  8.00    17.1180     0.3937     7.0000    13.0000    23.0000   264.0000
  8.50    15.7940     0.3256     6.0000    12.0000    21.0000   181.0000
  9.00    15.6360     0.2999     6.0000    13.0000    21.0000   135.0000
  9.50    14.4955     0.2879     6.0000    11.0000    19.0000   150.0000
 10.00    13.8405     0.2822     6.0000    11.0000    19.0000   224.0000
