Radius  ARL  Std  Q1  Med  Q3  Max
 0.010   144.6265     2.4325    61.0000   118.0000   206.0000   798.0000
 0.020    76.7715     1.3266    33.0000    61.0000   105.0000   364.0000
 0.030    43.1860     0.7283    20.0000    35.0000    56.0000   217.0000
 0.040    28.8435     0.4328    15.0000    24.0000    38.0000   150.0000
 0.050    20.4240     0.2877    12.0000    17.0000    26.0000   168.0000
 0.060    16.9980     0.2138    10.0000    15.0000    21.0000    69.0000
 0.070    14.7955     0.1694    10.0000    13.0000    18.0000    72.0000
 0.080    12.8675     0.1352     9.0000    12.0000    15.0000    60.0000
 0.090    11.3915     0.1115     8.0000    10.0000    14.0000    62.0000
 0.100    10.6345     0.0927     8.0000    10.0000    13.0000    43.0000
 0.110     9.9075     0.0832     8.0000     9.0000    12.0000    40.0000
 0.120     9.4060     0.0760     7.0000     9.0000    11.0000    28.0000
 0.130     8.9580     0.0677     7.0000     9.0000    10.0000    39.0000
 0.140     8.6070     0.0628     7.0000     8.0000    10.0000    25.0000
 0.150     8.3450     0.0562     7.0000     8.0000    10.0000    24.0000
 0.160     8.0785     0.0538     7.0000     8.0000     9.0000    24.0000
 0.170     7.7835     0.0527     6.0000     8.0000     9.0000    19.0000
 0.180     7.6660     0.0485     6.0000     8.0000     9.0000    17.0000
 0.190     7.4290     0.0474     6.0000     7.0000     9.0000    15.0000
 0.200     7.1910     0.0445     6.0000     7.0000     8.0000    16.0000
