Shift  ARL  Std  Q1  Med  Q3  Max
  0.20   193.7480     3.2758    76.0000   163.0000   279.0000  1002.0000
  0.40   171.4595     2.8868    74.0000   146.0000   241.0000   957.0000
  0.60   105.5935     1.7471    49.0000    87.0000   143.0000   489.0000
  0.80    65.5105     0.9636    35.0000    56.0000    86.0000   288.0000
  1.00    45.8300     0.6291    26.0000    40.0000    59.0000   201.0000
  1.20    36.2955     0.4819    21.0000    31.0000    47.0000   197.0000
  1.40    29.8495     0.4040    18.0000    25.0000    38.0000   137.0000
  1.60    25.8690     0.3491    15.0000    22.0000    33.0000   138.0000
  1.80    22.6060     0.3090    13.0000    19.0000    28.0000   121.0000
  2.00    20.6100     0.2731    12.0000    18.0000    26.0000   107.0000
  2.20    19.4850     0.2843    11.0000    16.0000    25.0000   104.0000
  2.40    17.4325     0.2494    10.0000    15.0000    22.0000    97.0000
  2.60    16.4525     0.2460     9.0000    13.0000    21.0000    88.0000
  2.80    15.4655     0.2274     8.0000    12.0000    20.0000    86.0000
  3.00    14.9240     0.2274     8.0000    12.0000    19.0000   100.0000
  3.20    14.2980     0.2240     7.0000    11.0000    18.0000    96.0000
  3.40    13.9265     0.2171     7.0000    11.0000    18.0000    74.0000
  3.60    12.7490     0.2054     6.0000    10.0000    16.0000    96.0000
  3.80    12.0135     0.1890     6.0000    10.0000    16.0000    73.0000
  4.00    12.2100     0.1958     6.0000    10.0000    16.0000    74.0000
