Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.590000      192.673500          9.9343
      3.605000      203.040500         10.4939
      3.597500      191.197500          9.8849
      3.601250      194.943500         10.0739
      3.603125      195.675500         10.0906
      3.604063      197.319000         10.2302
      3.604531      206.393500         10.6909
      3.604297      194.011000         10.2023
      3.604414      194.817000         10.1394
      3.604473      192.227500         10.0460
      3.604502      196.168500         10.2274
      3.604517      199.825000         10.3749
 Final Limit:   3.60451660156250       ARL:   199.825000000000     
