Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.590000      190.508000       4845.0793
      3.605000      195.272000       4962.2384
      3.612500      204.747500       5307.4902
      3.608750      188.256000       4784.0461
      3.610625      197.312500       5018.1025
      3.611562      204.735000       5210.9242
      3.611094      210.901500       5372.7965
      3.610859      202.373000       5155.1676
      3.610742      208.259000       5293.3785
      3.610683      205.929000       5242.6472
      3.610654      207.273000       5273.8115
      3.610640      194.735500       4947.5915
      3.610647      208.839500       5301.5853
      3.610643      194.115000       4927.2050
      3.610645      203.163000       5213.0035
      3.610644      199.808500       5292.9649
 Final Limit:   3.61064412055566       ARL:   199.808500000000     
