Amp  ARL  Std  Q1  Med  Q3  Max
10.000    10.5866     0.2215     4.0000     6.0000    10.0000   269.0000     0.0000
 9.500    12.2042     0.2698     4.0000     7.0000    12.0000   353.0000     0.0000
 9.000    12.5364     0.2767     4.0000     7.0000    12.0000   341.0000     0.0000
 8.500    13.0370     0.2990     4.0000     7.0000    13.0000   400.0000     0.0000
 8.000    14.1898     0.3033     5.0000     8.0000    14.0000   361.0000     0.0000
 7.500    14.4644     0.3205     5.0000     9.0000    15.0000   472.0000     0.0000
 7.000    16.6512     0.3599     6.0000     9.0000    16.0000   573.0000     0.0000
 6.500    16.9688     0.3261     6.0000    10.0000    18.0000   386.0000     0.0000
 6.000    18.2870     0.3434     7.0000    11.0000    20.0000   398.0000     0.0000
 5.500    20.9156     0.4086     7.0000    12.0000    23.0000   504.0000     0.0000
 5.000    22.7774     0.4290     8.0000    14.0000    25.0000   434.0000     0.0000
 4.500    26.0690     0.4441    10.0000    17.0000    29.0000   487.0000     0.0000
 4.000    31.0888     0.5613    11.0000    20.0000    36.0000   639.0000     0.0000
 3.500    37.9766     0.6060    13.0000    25.0000    46.0000   543.0000     0.0000
 3.000    45.4750     0.6928    16.0000    31.0000    57.0000   905.0000     0.0000
 2.500    62.6852     0.9572    21.0000    41.0000    79.0000   714.0000     0.0000
 2.000    88.8096     1.2804    29.0000    61.0000   116.0000   807.0000     0.0000
 1.500   134.6280     1.9513    39.0000    89.0000   186.0000  1417.0000     0.0000
 1.000   180.5240     2.5707    51.0000   126.0000   250.0000  1571.0000     0.0000
 0.500   201.3190     2.8341    58.0000   140.0000   281.0000  1616.0000     0.0000
