Amp  ARL  Std  Q1  Med  Q3  Max
10.000    10.5678     0.2393     4.0000     7.0000    11.0000   284.0000     0.0000
 9.500    10.5146     0.1949     4.0000     7.0000    12.0000   270.0000     0.0000
 9.000    11.2630     0.2497     4.0000     7.0000    12.0000   358.0000     0.0000
 8.500    11.9948     0.2751     4.0000     8.0000    13.0000   688.0000     0.0000
 8.000    12.9610     0.2629     5.0000     8.0000    14.0000   530.0000     0.0000
 7.500    13.1800     0.2463     5.0000     8.0000    14.0000   238.0000     0.0000
 7.000    14.3088     0.2794     5.0000     9.0000    15.0000   320.0000     0.0000
 6.500    16.1184     0.3142     6.0000    10.0000    17.0000   390.0000     0.0000
 6.000    17.6372     0.3298     6.0000    11.0000    19.0000   485.0000     0.0000
 5.500    19.2092     0.3447     7.0000    12.0000    22.0000   309.0000     0.0000
 5.000    21.1428     0.3767     7.0000    13.0000    24.0000   399.0000     0.0000
 4.500    25.0112     0.4557     9.0000    16.0000    29.0000   464.0000     0.0000
 4.000    29.3052     0.5247    10.0000    19.0000    34.0000   693.0000     0.0000
 3.500    35.2784     0.5829    12.0000    23.0000    43.0000   699.0000     0.0000
 3.000    43.5586     0.6734    14.0000    29.0000    55.0000   557.0000     0.0000
 2.500    56.0148     0.8771    18.0000    36.0000    71.0000   825.0000     0.0000
 2.000    78.9444     1.1752    25.0000    54.0000   104.0000   953.0000     0.0000
 1.500   114.8978     1.6366    37.0000    80.0000   151.0000   952.0000     0.0000
 1.000   167.0044     2.3098    48.0000   117.0000   235.0000  1453.0000     0.0000
 0.500   200.1720     2.8210    57.0000   139.0000   283.0000  1482.0000     0.0000
