Amp  ARL  Std  Q1  Med  Q3  Max
10.000    25.8848     0.4460    10.0000    17.0000    29.0000   413.0000     0.0000
 9.500    27.5176     0.5242    10.0000    18.0000    31.0000   804.0000     0.0000
 9.000    30.0466     0.5253    11.0000    19.0000    34.0000   619.0000     0.0000
 8.500    32.7798     0.5569    12.0000    21.0000    38.0000   714.0000     0.0000
 8.000    34.1428     0.5089    13.0000    23.0000    42.0000   366.0000     0.0000
 7.500    37.6052     0.5830    14.0000    25.0000    45.0000   741.0000     0.0000
 7.000    43.6422     0.6760    16.0000    29.0000    53.0000   631.0000     0.0000
 6.500    46.9622     0.7311    17.0000    32.0000    58.0000   754.0000     0.0000
 6.000    52.2078     0.7698    20.0000    36.0000    65.0000   785.0000     0.0000
 5.500    62.2246     0.9077    22.0000    42.0000    80.0000   736.0000     0.0000
 5.000    72.8720     1.0626    26.0000    50.0000    93.0000   806.0000     0.0000
 4.500    82.6686     1.2198    28.0000    57.0000   108.0000  1270.0000     0.0000
 4.000    99.3080     1.3618    34.0000    70.0000   132.0000  1026.0000     0.0000
 3.500   117.7432     1.6673    39.0000    83.0000   157.0000  1141.0000     0.0000
 3.000   142.7692     1.9717    46.0000   102.0000   197.0000  1746.0000     0.0000
 2.500   163.3348     2.3311    49.0000   114.0000   223.0000  1843.0000     0.0000
