Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.720000      259.988500        885.2467
      3.660000      209.600500        694.1370
      3.630000      176.045500        583.2294
      3.645000      193.700500        642.0396
      3.652500      194.875500        647.6413
      3.656250      204.953500        679.5736
      3.654375      196.693500        651.1725
      3.655312      187.343500        627.4310
      3.655781      197.144000        652.4097
 Final Limit:   3.65578125000000       ARL:   197.144000000000     
