Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   198.9200     4.6372    54.0000   137.0000   271.0000  2000.0000
  1.00   198.1950     4.3337    56.0000   139.0000   276.0000  1583.0000
  1.50   189.7630     4.2611    54.0000   130.0000   262.0000  1726.0000
  2.00   188.0695     4.2747    50.0000   134.0000   264.0000  2000.0000
  2.50   158.8850     3.5675    51.0000   110.0000   216.0000  1205.0000
  3.00   129.1470     2.7398    43.0000    93.0000   173.0000   986.0000
  3.50   107.6565     2.2946    38.0000    77.0000   149.0000   912.0000
  4.00    85.7765     1.8738    30.0000    60.0000   112.0000   629.0000
  4.50    76.1570     1.6204    27.0000    53.0000   102.0000   516.0000
  5.00    65.2390     1.4016    25.0000    47.0000    86.0000   555.0000
  5.50    56.4315     1.3146    21.0000    39.0000    72.0000   705.0000
  6.00    48.4000     1.1104    18.0000    33.0000    62.0000   471.0000
  6.50    41.5300     0.9669    16.0000    28.0000    50.0000   463.0000
  7.00    36.6860     0.8423    14.0000    25.0000    45.0000   472.0000
  7.50    34.0825     0.8326    14.0000    23.0000    41.0000   422.0000
  8.00    30.6315     0.7273    12.0000    21.0000    37.0000   352.0000
  8.50    28.3690     0.7053    11.0000    19.0000    34.0000   312.0000
  9.00    26.2230     0.6693    10.0000    17.0000    30.0000   396.0000
  9.50    25.4980     0.6848     9.0000    17.0000    30.0000   402.0000
 10.00    22.8575     0.6490     9.0000    15.0000    27.0000   595.0000
