Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   175.2150     3.9796    50.0000   116.0000   249.0000  1334.0000
  1.00   117.8215     2.6717    36.0000    80.0000   159.0000  1186.0000
  1.50    73.9380     1.7448    23.0000    50.0000    95.0000   778.0000
  2.00    52.4850     1.4335    16.0000    33.0000    64.0000   748.0000
  2.50    40.9095     1.0880    13.0000    26.0000    50.0000   511.0000
  3.00    33.3475     0.9760    10.0000    21.0000    40.0000   895.0000
  3.50    28.0580     0.8740     8.0000    16.0000    32.0000   444.0000
  4.00    24.1025     0.6818     7.0000    15.0000    29.0000   496.0000
  4.50    20.5880     0.5902     7.0000    13.0000    25.0000   486.0000
  5.00    18.2605     0.5268     6.0000    11.0000    21.0000   350.0000
  5.50    16.1500     0.4777     5.0000    10.0000    18.0000   220.0000
  6.00    16.0000     0.5233     5.0000    10.0000    18.0000   312.0000
  6.50    14.1655     0.3830     4.0000     9.0000    17.0000   179.0000
  7.00    12.7450     0.4083     4.0000     8.0000    14.0000   306.0000
  7.50    12.4965     0.4444     4.0000     8.0000    14.0000   499.0000
  8.00    12.1130     0.3808     4.0000     7.0000    13.0000   307.0000
  8.50    11.8125     0.4234     4.0000     7.0000    13.0000   321.0000
  9.00    10.7510     0.3184     3.0000     7.0000    12.0000   238.0000
  9.50    10.5795     0.3593     3.0000     6.0000    12.0000   274.0000
 10.00    10.4600     0.3299     3.0000     6.0000    12.0000   180.0000
