Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   190.4105     4.2855    56.0000   128.0000   262.0000  1442.0000
  1.00   115.2950     2.6323    36.0000    78.0000   155.0000  1106.0000
  1.50    71.3070     1.6965    23.0000    47.0000    94.0000   683.0000
  2.00    51.5060     1.3352    16.0000    32.0000    64.0000   670.0000
  2.50    38.2580     1.0250    12.0000    23.0000    47.0000   565.0000
  3.00    33.2095     0.9959    10.0000    20.0000    39.0000   608.0000
  3.50    27.7065     0.8462     8.0000    16.0000    31.0000   388.0000
  4.00    24.4360     0.7916     7.0000    14.0000    26.0000   445.0000
  4.50    21.8755     0.7790     6.0000    12.0000    22.0000   672.0000
  5.00    17.4700     0.5175     6.0000    10.0000    19.0000   279.0000
  5.50    17.5395     0.5964     5.0000     9.0000    18.0000   311.0000
  6.00    16.0620     0.5351     5.0000     9.0000    17.0000   372.0000
  6.50    15.7095     0.5856     5.0000     8.0000    15.0000   410.0000
  7.00    14.0585     0.5580     4.0000     7.0000    14.0000   490.0000
  7.50    13.0625     0.4851     4.0000     7.0000    12.0000   369.0000
  8.00    12.4390     0.4795     4.0000     7.0000    12.0000   347.0000
  8.50    11.3070     0.4786     3.0000     6.0000    11.0000   527.0000
  9.00    10.8765     0.4079     3.0000     6.0000    10.0000   279.0000
  9.50    10.6315     0.4095     3.0000     6.0000    10.0000   325.0000
 10.00    10.0135     0.3574     3.0000     6.0000    10.0000   209.0000
