Amp  ARL  Std  Q1  Med  Q3  Max
  0.50   200.7310     4.5195    58.0000   139.0000   281.0000  1739.0000
  1.00   191.5080     4.3030    57.0000   133.0000   267.0000  2000.0000
  1.50   186.4220     4.0050    54.0000   132.0000   261.0000  1359.0000
  2.00   171.9825     3.9725    50.0000   115.0000   237.0000  1661.0000
  2.50   146.7580     3.1877    45.0000   107.0000   201.0000  1095.0000
  3.00   130.5435     2.7714    47.0000    93.0000   179.0000  1011.0000
  3.50   108.7495     2.3079    37.0000    77.0000   145.0000  1048.0000
  4.00    92.2530     2.0038    34.0000    65.0000   120.0000   886.0000
  4.50    81.0065     1.8750    28.0000    56.0000   107.0000  1145.0000
  5.00    65.1280     1.4172    24.0000    47.0000    84.0000   613.0000
  5.50    58.1890     1.2961    22.0000    41.0000    73.0000   619.0000
  6.00    53.3800     1.2906    20.0000    36.0000    67.0000   643.0000
  6.50    45.6365     1.0465    17.0000    32.0000    56.0000   438.0000
  7.00    40.3480     0.9475    15.0000    28.0000    52.0000   470.0000
  7.50    37.4775     0.9024    14.0000    25.0000    45.0000   401.0000
  8.00    35.9435     0.8630    14.0000    25.0000    43.0000   419.0000
  8.50    32.7245     0.8298    13.0000    22.0000    38.0000   457.0000
  9.00    30.2365     0.7501    12.0000    20.0000    35.0000   389.0000
  9.50    27.0360     0.6319    11.0000    19.0000    33.0000   366.0000
 10.00    25.7785     0.6669    10.0000    17.0000    30.0000   540.0000
