Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
     11.060117      246.742000       1070.9647
     10.498762      208.756500        902.6254
     10.218085      184.325500        796.6109
     10.358424      189.320500        816.9949
     10.428593      190.835500        825.0588
     10.463678      186.566000        803.9447
     10.481220      206.062500        887.8335
     10.472449      194.305000        832.1216
     10.476834      204.880500        877.0605
     10.474642      199.183500        853.0279
 Final Limit:   10.4746415517280       ARL:   199.183500000000     
