Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050 2.000     6.1360     0.0564     3.0000     5.0000     8.0000    41.0000     0.0000
 2.000 0.050 1.900     6.1858     0.0585     3.0000     5.0000     8.0000    46.0000     0.0000
 2.000 0.050 1.800     6.2904     0.0599     3.0000     5.0000     8.0000    41.0000     0.0000
 2.000 0.050 1.700     6.1358     0.0553     3.0000     5.0000     8.0000    35.0000     0.0000
 2.000 0.050 1.600     6.1440     0.0581     3.0000     5.0000     8.0000    58.0000     0.0000
 2.000 0.050 1.500     6.1966     0.0602     3.0000     5.0000     8.0000    69.0000     0.0000
 2.000 0.050 1.400     6.2770     0.0608     3.0000     5.0000     8.0000    54.0000     0.0000
 2.000 0.050 1.300     6.3012     0.0631     3.0000     5.0000     8.0000    68.0000     0.0000
 2.000 0.050 1.200     6.3932     0.0652     3.0000     5.0000     8.0000    63.0000     0.0000
 2.000 0.050 1.100     6.5206     0.0715     3.0000     5.0000     8.0000    69.0000     0.0000
 2.000 0.050 1.000     6.8414     0.0948     3.0000     5.0000     8.0000   130.0000     0.0000
 2.000 0.050 0.900     7.1744     0.1136     3.0000     5.0000     9.0000   156.0000     0.0000
 2.000 0.050 0.800     7.4030     0.1221     3.0000     5.0000     9.0000   230.0000     0.0000
 2.000 0.050 0.700     8.0064     0.1509     3.0000     6.0000     9.0000   218.0000     0.0000
 2.000 0.050 0.600     9.3240     0.2385     3.0000     6.0000     9.0000   351.0000     0.0000
 2.000 0.050 0.500    10.4080     0.2984     3.0000     6.0000    10.0000   441.0000     0.0000
 2.000 0.050 0.400    12.8302     0.4030     4.0000     6.0000    10.0000   547.0000     0.0000
 2.000 0.050 0.300    16.1958     0.5417     4.0000     7.0000    12.0000   571.0000     0.0000
 2.000 0.050 0.200    22.2752     0.7808     4.0000     7.0000    15.0000   975.0000     0.0000
 2.000 0.050 0.100    36.9650     1.0820     5.0000     9.0000    28.0000  1072.0000     0.0000
 2.000 0.040 2.000     6.9472     0.0678     4.0000     6.0000     9.0000    69.0000     0.0000
 2.000 0.040 1.900     6.9336     0.0681     4.0000     6.0000     9.0000    49.0000     0.0000
 2.000 0.040 1.800     7.0164     0.0670     4.0000     6.0000     9.0000    48.0000     0.0000
 2.000 0.040 1.700     6.8898     0.0657     3.0000     6.0000     9.0000    39.0000     0.0000
 2.000 0.040 1.600     7.1258     0.0702     4.0000     6.0000     9.0000    66.0000     0.0000
 2.000 0.040 1.500     6.9982     0.0690     4.0000     6.0000     9.0000    54.0000     0.0000
 2.000 0.040 1.400     7.1574     0.0734     4.0000     6.0000     9.0000    88.0000     0.0000
 2.000 0.040 1.300     7.2034     0.0739     4.0000     6.0000     9.0000    50.0000     0.0000
 2.000 0.040 1.200     7.2672     0.0745     4.0000     6.0000     9.0000    67.0000     0.0000
 2.000 0.040 1.100     7.3032     0.0774     4.0000     6.0000     9.0000    61.0000     0.0000
 2.000 0.040 1.000     7.6832     0.0999     4.0000     6.0000    10.0000   160.0000     0.0000
 2.000 0.040 0.900     7.7808     0.1090     4.0000     6.0000    10.0000   150.0000     0.0000
 2.000 0.040 0.800     8.3546     0.1381     4.0000     6.0000    10.0000   203.0000     0.0000
 2.000 0.040 0.700     9.3524     0.2118     4.0000     6.0000    10.0000   364.0000     0.0000
 2.000 0.040 0.600    10.1736     0.2565     4.0000     6.0000    11.0000   405.0000     0.0000
 2.000 0.040 0.500    12.0166     0.3473     4.0000     7.0000    12.0000   492.0000     0.0000
 2.000 0.040 0.400    14.6460     0.4903     4.0000     7.0000    12.0000   671.0000     0.0000
 2.000 0.040 0.300    18.4438     0.6596     4.0000     7.0000    14.0000  1489.0000     0.0000
 2.000 0.040 0.200    23.1696     0.7914     4.0000     8.0000    16.0000   938.0000     0.0000
 2.000 0.040 0.100    35.9968     1.0987     5.0000    11.0000    26.0000   906.0000     0.0000
 2.000 0.030 2.000     8.3308     0.0855     4.0000     7.0000    11.0000    55.0000     0.0000
 2.000 0.030 1.900     8.5340     0.0889     4.0000     7.0000    11.0000    91.0000     0.0000
 2.000 0.030 1.800     8.3124     0.0846     4.0000     7.0000    11.0000    71.0000     0.0000
 2.000 0.030 1.700     8.3740     0.0847     4.0000     7.0000    11.0000    61.0000     0.0000
 2.000 0.030 1.600     8.2702     0.0826     4.0000     7.0000    11.0000    55.0000     0.0000
 2.000 0.030 1.500     8.5642     0.0896     4.0000     7.0000    11.0000   115.0000     0.0000
 2.000 0.030 1.400     8.4170     0.0889     4.0000     7.0000    11.0000    65.0000     0.0000
 2.000 0.030 1.300     8.6886     0.0938     4.0000     7.0000    11.0000    76.0000     0.0000
 2.000 0.030 1.200     8.5760     0.0968     4.0000     7.0000    11.0000   117.0000     0.0000
 2.000 0.030 1.100     8.7270     0.0985     4.0000     7.0000    11.0000   102.0000     0.0000
 2.000 0.030 1.000     9.0306     0.1184     4.0000     7.0000    12.0000   187.0000     0.0000
 2.000 0.030 0.900     9.3608     0.1465     4.0000     7.0000    12.0000   251.0000     0.0000
 2.000 0.030 0.800    10.0256     0.2038     4.0000     7.0000    12.0000   503.0000     0.0000
 2.000 0.030 0.700    11.1728     0.2513     4.0000     7.0000    12.0000   393.0000     0.0000
 2.000 0.030 0.600    11.5700     0.2346     4.0000     8.0000    13.0000   377.0000     0.0000
 2.000 0.030 0.500    13.0194     0.3475     4.0000     8.0000    13.0000   500.0000     0.0000
 2.000 0.030 0.400    15.6420     0.4881     5.0000     8.0000    14.0000   828.0000     0.0000
