Shift Radius  ARL  Std  Q1  Med  Q3  Max
 3.000 0.100     8.8480     0.1634     3.0000     7.0000    12.0000    58.0000
 3.000 0.095     9.6870     0.1740     4.0000     7.0000    14.0000    50.0000
 3.000 0.090    10.1605     0.1830     4.0000     8.0000    14.0000    58.0000
 3.000 0.085    11.0455     0.1999     4.0000     9.0000    16.0000    60.0000
 3.000 0.080    12.3620     0.2210     5.0000    10.0000    18.0000    67.0000
 3.000 0.075    12.6045     0.2274     5.0000    10.0000    18.0000    65.0000
 3.000 0.070    14.0800     0.2522     5.0000    12.0000    20.0000    87.0000
 3.000 0.065    15.4625     0.2804     6.0000    13.0000    22.0000   128.0000
 3.000 0.060    18.3700     0.3351     7.0000    15.0000    25.0000   141.0000
 3.000 0.055    20.0930     0.3605     8.0000    16.0000    29.0000   110.0000
 3.000 0.050    22.9940     0.4222     9.0000    19.0000    33.0000   136.0000
 3.000 0.045    26.4485     0.4884    10.0000    22.0000    38.0000   252.0000
 3.000 0.040    31.4650     0.5852    12.0000    26.0000    45.0000   231.0000
 3.000 0.035    39.9345     0.7662    14.0000    31.0000    56.0000   235.0000
 3.000 0.030    51.5220     1.0638    17.0000    39.0000    71.0000   444.0000
 3.000 0.025    69.8825     1.4679    24.0000    51.0000    96.0000   697.0000
 3.000 0.020    92.5055     2.0813    27.0000    65.0000   127.0000   902.0000
 3.000 0.015   121.5510     2.7264    36.0000    85.0000   170.0000  1254.0000
 3.000 0.010   146.5470     3.2956    43.0000   101.0000   200.0000  1161.0000
 3.000 0.005   184.4240     4.1761    53.0000   127.0000   249.0000  1354.0000
