Shift Radius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200     9.2680     0.1589     4.0000     7.0000    12.0000    62.0000
 0.950 0.200    10.2080     0.1940     5.0000     8.0000    13.0000    83.0000
 0.900 0.200    11.0910     0.1983     5.0000     9.0000    15.0000    69.0000
 0.850 0.200    12.2075     0.2210     5.0000     9.0000    16.0000   102.0000
 0.800 0.200    12.9345     0.2368     6.0000    10.0000    17.0000   108.0000
 0.750 0.200    14.3640     0.2624     6.0000    11.0000    19.0000    93.0000
 0.700 0.200    15.9855     0.2994     7.0000    12.0000    21.0000   128.0000
 0.650 0.200    17.7310     0.3350     8.0000    14.0000    23.0000   204.0000
 0.600 0.200    21.2565     0.4431     9.0000    16.0000    28.0000   208.0000
 0.550 0.200    24.2655     0.4936    10.0000    18.0000    32.0000   263.0000
 0.500 0.200    28.7535     0.5767    11.0000    22.0000    38.0000   315.0000
 0.450 0.200    35.4060     0.7465    13.0000    25.0000    46.0000   263.0000
 0.400 0.200    41.8695     0.8439    16.0000    32.0000    55.0000   350.0000
 0.350 0.200    53.3965     1.0882    19.0000    38.0000    72.0000   328.0000
 0.300 0.200    71.0330     1.4801    25.0000    51.0000    95.0000   557.0000
 0.250 0.200    96.5360     2.1743    29.0000    67.0000   131.0000  1032.0000
 0.200 0.200   124.2150     2.7989    36.0000    87.0000   168.0000  1005.0000
 0.150 0.200   156.7255     3.3923    46.0000   114.0000   221.0000  1112.0000
 0.100 0.200   180.1330     4.0762    51.0000   125.0000   252.0000  1721.0000
 0.050 0.200   189.4975     4.2485    53.0000   132.0000   265.0000  1588.0000
