Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.0820     0.0456     3.0000     4.0000     5.0000    17.0000     0.0000
 2.000 0.180     4.4980     0.0487     3.0000     4.0000     6.0000    16.0000     0.0000
 2.000 0.160     4.9650     0.0595     3.0000     4.0000     6.0000    38.0000     0.0000
 2.000 0.140     5.5275     0.0716     3.0000     5.0000     7.0000    54.0000     0.0000
 2.000 0.120     6.4160     0.0910     4.0000     6.0000     8.0000    66.0000     0.0000
 2.000 0.100     8.0340     0.1285     4.0000     7.0000    10.0000    48.0000     0.0000
 2.000 0.080    10.8105     0.1869     6.0000     9.0000    13.0000    84.0000     0.0000
 2.000 0.060    19.9025     0.4843     7.0000    13.0000    25.0000   337.0000     0.0000
 2.000 0.040    42.8385     0.9308    13.0000    30.0000    59.0000   395.0000     0.0000
 2.000 0.020   100.6065     2.3219    28.0000    70.0000   138.0000  1074.0000     0.0000
 1.800 0.200     4.7190     0.0522     3.0000     4.0000     6.0000    18.0000     0.0000
 1.800 0.180     5.0250     0.0557     3.0000     5.0000     6.0000    23.0000     0.0000
 1.800 0.160     5.6465     0.0689     4.0000     5.0000     7.0000    26.0000     0.0000
 1.800 0.140     6.4825     0.0844     4.0000     6.0000     8.0000    44.0000     0.0000
 1.800 0.120     7.4805     0.1020     4.0000     7.0000     9.0000    45.0000     0.0000
 1.800 0.100     9.0025     0.1390     5.0000     8.0000    11.0000    75.0000     0.0000
 1.800 0.080    12.3255     0.2200     6.0000    10.0000    15.0000    94.0000     0.0000
 1.800 0.060    21.1235     0.4244     8.0000    15.0000    28.0000   192.0000     0.0000
 1.800 0.040    43.2700     0.9758    13.0000    29.0000    59.0000   441.0000     0.0000
 1.800 0.020   108.4240     2.4841    30.0000    74.0000   152.0000  1115.0000     0.0000
 1.600 0.200     5.4245     0.0623     3.0000     5.0000     7.0000    24.0000     0.0000
 1.600 0.180     5.9780     0.0697     4.0000     6.0000     8.0000    28.0000     0.0000
 1.600 0.160     6.6105     0.0829     4.0000     6.0000     9.0000    37.0000     0.0000
 1.600 0.140     7.5580     0.0974     5.0000     7.0000     9.0000    48.0000     0.0000
 1.600 0.120     8.5875     0.1224     5.0000     7.0000    11.0000    54.0000     0.0000
 1.600 0.100    10.7495     0.1633     6.0000     9.0000    14.0000    85.0000     0.0000
 1.600 0.080    14.6555     0.2663     7.0000    11.0000    18.0000   119.0000     0.0000
 1.600 0.060    24.1420     0.5127     9.0000    17.0000    31.0000   270.0000     0.0000
 1.600 0.040    46.3450     1.0054    15.0000    32.0000    61.0000   452.0000     0.0000
 1.600 0.020   116.5205     2.6408    31.0000    81.0000   161.0000   962.0000     0.0000
 1.400 0.200     6.5090     0.0798     4.0000     6.0000     8.0000    30.0000     0.0000
 1.400 0.180     7.1370     0.0882     4.0000     6.0000     9.0000    37.0000     0.0000
 1.400 0.160     7.9350     0.0985     5.0000     7.0000    10.0000    33.0000     0.0000
 1.400 0.140     9.0095     0.1174     5.0000     8.0000    12.0000    40.0000     0.0000
 1.400 0.120    10.4690     0.1497     6.0000     9.0000    13.0000    54.0000     0.0000
 1.400 0.100    12.7455     0.1944     7.0000    11.0000    16.0000    84.0000     0.0000
 1.400 0.080    17.0795     0.3035     9.0000    14.0000    21.0000   171.0000     0.0000
 1.400 0.060    26.2205     0.5185    10.0000    19.0000    34.0000   190.0000     0.0000
 1.400 0.040    53.8100     1.1325    18.0000    39.0000    72.0000   372.0000     0.0000
 1.400 0.020   116.0910     2.7013    33.0000    78.0000   157.0000  1212.0000     0.0000
 1.200 0.200     8.1845     0.1018     5.0000     7.0000    10.0000    42.0000     0.0000
 1.200 0.180     8.9130     0.1111     5.0000     8.0000    12.0000    37.0000     0.0000
 1.200 0.160    10.0110     0.1322     6.0000     9.0000    13.0000    48.0000     0.0000
 1.200 0.140    11.2825     0.1595     7.0000    10.0000    14.0000    85.0000     0.0000
 1.200 0.120    13.4150     0.1966     7.0000    12.0000    17.0000    77.0000     0.0000
 1.200 0.100    16.4230     0.2436     9.0000    14.0000    21.0000    77.0000     0.0000
 1.200 0.080    21.5880     0.3678    11.0000    17.0000    28.0000   152.0000     0.0000
 1.200 0.060    34.0995     0.6979    14.0000    25.0000    44.0000   311.0000     0.0000
 1.200 0.040    62.7025     1.3747    21.0000    44.0000    84.0000   558.0000     0.0000
 1.200 0.020   128.7880     2.8175    36.0000    93.0000   176.0000   798.0000     0.0000
 1.000 0.200    10.6455     0.1460     6.0000    10.0000    14.0000    58.0000     0.0000
 1.000 0.180    11.8255     0.1513     7.0000    10.0000    15.0000    46.0000     0.0000
 1.000 0.160    13.6470     0.1918     8.0000    12.0000    18.0000    71.0000     0.0000
 1.000 0.140    16.1085     0.2358     9.0000    14.0000    21.0000   109.0000     0.0000
 1.000 0.120    18.4875     0.2963    10.0000    16.0000    24.0000   105.0000     0.0000
 1.000 0.100    22.2440     0.3815    11.0000    18.0000    29.0000   165.0000     0.0000
 1.000 0.080    28.9355     0.5168    13.0000    23.0000    38.0000   191.0000     0.0000
 1.000 0.060    42.4295     0.8196    17.0000    32.0000    56.0000   278.0000     0.0000
 1.000 0.040    71.7455     1.5169    24.0000    51.0000    97.0000   542.0000     0.0000
 1.000 0.020   140.0815     3.2102    41.0000    94.0000   188.0000  1213.0000     0.0000
 0.800 0.200    16.0590     0.2239     9.0000    14.0000    21.0000    83.0000     0.0000
 0.800 0.180    18.2310     0.2765    10.0000    16.0000    24.0000   109.0000     0.0000
 0.800 0.160    20.2985     0.3130    11.0000    17.0000    27.0000   131.0000     0.0000
 0.800 0.140    22.8980     0.3598    12.0000    19.0000    30.0000   129.0000     0.0000
 0.800 0.120    27.7365     0.4905    13.0000    22.0000    36.0000   320.0000     0.0000
 0.800 0.100    32.5935     0.5735    15.0000    26.0000    42.0000   209.0000     0.0000
 0.800 0.080    44.7805     0.8333    19.0000    35.0000    60.0000   346.0000     0.0000
 0.800 0.060    62.6465     1.2879    24.0000    47.0000    83.0000   644.0000     0.0000
 0.800 0.040   100.3230     2.1720    34.0000    72.0000   135.0000   835.0000     0.0000
 0.800 0.020   156.4615     3.3840    46.0000   110.0000   217.0000  1260.0000     0.0000
 0.600 0.200    29.4910     0.4993    14.0000    24.0000    39.0000   186.0000     0.0000
 0.600 0.180    32.6525     0.5481    16.0000    26.0000    43.0000   223.0000     0.0000
 0.600 0.160    36.4675     0.6527    17.0000    30.0000    48.0000   270.0000     0.0000
 0.600 0.140    41.2860     0.7784    18.0000    32.0000    55.0000   332.0000     0.0000
 0.600 0.120    50.4140     0.9487    20.0000    39.0000    68.0000   356.0000     0.0000
 0.600 0.100    63.6300     1.3027    24.0000    48.0000    85.0000   645.0000     0.0000
 0.600 0.080    76.6390     1.5495    26.0000    56.0000   106.0000   592.0000     0.0000
 0.600 0.060   104.5655     2.2124    35.0000    76.0000   139.0000   898.0000     0.0000
 0.600 0.040   139.6795     2.9957    47.0000    99.0000   190.0000  1009.0000     0.0000
 0.600 0.020   179.5640     4.1387    49.0000   121.0000   252.0000  1662.0000     0.0000
 0.400 0.200    70.7270     1.5134    25.0000    51.0000    92.0000   608.0000     0.0000
 0.400 0.180    76.8800     1.6108    27.0000    55.0000   104.0000   665.0000     0.0000
 0.400 0.160    86.8385     1.8649    31.0000    64.0000   119.0000   967.0000     0.0000
 0.400 0.140    98.8285     2.1612    34.0000    71.0000   133.0000  1094.0000     0.0000
 0.400 0.120   108.3280     2.4199    32.0000    76.0000   145.0000  1023.0000     0.0000
 0.400 0.100   129.2005     2.7916    42.0000    91.0000   178.0000  1049.0000     0.0000
 0.400 0.080   139.1640     3.0809    41.0000    94.0000   195.0000  1055.0000     0.0000
 0.400 0.060   158.2640     3.5034    45.0000   111.0000   222.0000  1239.0000     0.0000
 0.400 0.040   179.3060     4.1542    50.0000   121.0000   251.0000  1771.0000     0.0000
 0.400 0.020   192.1055     4.2163    58.0000   136.0000   267.0000  1770.0000     0.0000
 0.200 0.200   165.9555     3.7366    49.0000   116.0000   222.0000  1673.0000     0.0000
 0.200 0.180   161.4545     3.6268    45.0000   110.0000   220.0000  1223.0000     0.0000
 0.200 0.160   174.0840     3.8777    47.0000   116.0000   250.0000  1420.0000     0.0000
 0.200 0.140   168.2375     3.7114    49.0000   118.0000   236.0000  1157.0000     0.0000
 0.200 0.120   180.4475     3.9811    52.0000   127.0000   248.0000  1191.0000     0.0000
 0.200 0.100   181.8455     4.2696    51.0000   122.0000   240.0000  1684.0000     0.0000
 0.200 0.080   182.0895     4.1781    50.0000   124.0000   248.0000  1233.0000     0.0000
 0.200 0.060   198.5315     4.4098    58.0000   140.0000   274.0000  1823.0000     0.0000
 0.200 0.040   197.8690     4.4731    57.0000   138.0000   276.0000  1543.0000     0.0000
 0.200 0.020   196.0700     4.6879    53.0000   131.0000   260.0000  2000.0000     0.0000
