Shift TestRadius  ARL  Std  Q1  Med  Q3  Max min
 2.000 0.200     4.1556     0.0289     3.0000     4.0000     5.0000    18.0000     0.0000
 2.000 0.180     4.5640     0.0346     3.0000     4.0000     6.0000    40.0000     0.0000
 2.000 0.160     5.1260     0.0427     3.0000     5.0000     6.0000    42.0000     0.0000
 2.000 0.140     5.8370     0.0511     4.0000     5.0000     7.0000    59.0000     0.0000
 2.000 0.120     6.9094     0.0740     4.0000     6.0000     8.0000   118.0000     0.0000
 2.000 0.100     9.1930     0.1147     5.0000     7.0000    11.0000   107.0000     0.0000
 2.000 0.080    13.6074     0.1861     6.0000     9.0000    17.0000   202.0000     0.0000
 2.000 0.060    23.1478     0.3371     7.0000    15.0000    31.0000   299.0000     0.0000
 2.000 0.040    44.8384     0.6364    13.0000    30.0000    63.0000   459.0000     0.0000
 2.000 0.020   104.0706     1.4841    30.0000    72.0000   142.0000   889.0000     0.0000
 1.800 0.200     4.9508     0.0353     3.0000     5.0000     6.0000    26.0000     0.0000
 1.800 0.180     5.4040     0.0395     4.0000     5.0000     7.0000    40.0000     0.0000
 1.800 0.160     5.9040     0.0473     4.0000     5.0000     7.0000    54.0000     0.0000
 1.800 0.140     6.8092     0.0574     4.0000     6.0000     9.0000    56.0000     0.0000
 1.800 0.120     7.9676     0.0792     5.0000     7.0000    10.0000    80.0000     0.0000
 1.800 0.100    10.5178     0.1240     5.0000     8.0000    13.0000   100.0000     0.0000
 1.800 0.080    15.0684     0.1946     6.0000    11.0000    19.0000   161.0000     0.0000
 1.800 0.060    25.1428     0.3521     8.0000    17.0000    34.0000   256.0000     0.0000
 1.800 0.040    47.7062     0.6747    15.0000    32.0000    64.0000   432.0000     0.0000
 1.800 0.020   108.6134     1.5546    31.0000    75.0000   150.0000  1198.0000     0.0000
 1.600 0.200     5.9056     0.0443     4.0000     5.0000     7.0000    33.0000     0.0000
 1.600 0.180     6.5210     0.0502     4.0000     6.0000     8.0000    34.0000     0.0000
 1.600 0.160     7.0856     0.0591     4.0000     6.0000     9.0000    59.0000     0.0000
 1.600 0.140     8.1012     0.0697     5.0000     7.0000    10.0000    84.0000     0.0000
 1.600 0.120     9.5074     0.0922     5.0000     8.0000    12.0000    98.0000     0.0000
 1.600 0.100    12.2394     0.1355     6.0000    10.0000    15.0000   108.0000     0.0000
 1.600 0.080    17.8178     0.2240     8.0000    13.0000    22.0000   158.0000     0.0000
 1.600 0.060    28.4352     0.3918    10.0000    19.0000    37.0000   271.0000     0.0000
 1.600 0.040    51.7890     0.7175    16.0000    35.0000    71.0000   554.0000     0.0000
 1.600 0.020   111.8458     1.5619    33.0000    79.0000   154.0000   863.0000     0.0000
 1.400 0.200     7.3110     0.0541     5.0000     7.0000     9.0000    31.0000     0.0000
 1.400 0.180     7.8898     0.0608     5.0000     7.0000    10.0000    44.0000     0.0000
 1.400 0.160     8.9838     0.0734     5.0000     8.0000    11.0000    57.0000     0.0000
 1.400 0.140    10.0388     0.0902     6.0000     9.0000    13.0000   105.0000     0.0000
 1.400 0.120    11.8528     0.1127     7.0000    10.0000    15.0000    82.0000     0.0000
 1.400 0.100    14.8108     0.1629     8.0000    12.0000    18.0000   120.0000     0.0000
 1.400 0.080    20.7902     0.2487     9.0000    16.0000    27.0000   199.0000     0.0000
 1.400 0.060    32.1512     0.4214    12.0000    23.0000    43.0000   295.0000     0.0000
 1.400 0.040    57.8468     0.7829    19.0000    41.0000    79.0000   526.0000     0.0000
 1.400 0.020   117.5574     1.6597    36.0000    82.0000   162.0000  1231.0000     0.0000
 1.200 0.200     9.4534     0.0758     6.0000     8.0000    12.0000    47.0000     0.0000
 1.200 0.180    10.3434     0.0848     6.0000     9.0000    13.0000    52.0000     0.0000
 1.200 0.160    11.4234     0.0972     7.0000    10.0000    15.0000    87.0000     0.0000
 1.200 0.140    13.1246     0.1186     7.0000    12.0000    17.0000    87.0000     0.0000
 1.200 0.120    15.3250     0.1477     8.0000    13.0000    20.0000   153.0000     0.0000
 1.200 0.100    18.7256     0.1950    10.0000    16.0000    24.0000   162.0000     0.0000
 1.200 0.080    25.2980     0.2900    12.0000    20.0000    33.0000   186.0000     0.0000
 1.200 0.060    38.5058     0.4834    15.0000    28.0000    52.0000   368.0000     0.0000
 1.200 0.040    64.8970     0.8885    21.0000    46.0000    87.0000   753.0000     0.0000
 1.200 0.020   127.8026     1.7790    38.0000    90.0000   177.0000  1163.0000     0.0000
 1.000 0.200    12.8606     0.1107     7.0000    11.0000    17.0000    60.0000     0.0000
 1.000 0.180    14.0972     0.1218     8.0000    12.0000    19.0000    80.0000     0.0000
 1.000 0.160    15.8568     0.1420     9.0000    14.0000    21.0000    82.0000     0.0000
 1.000 0.140    18.3090     0.1713    10.0000    16.0000    24.0000   118.0000     0.0000
 1.000 0.120    20.7248     0.2020    11.0000    18.0000    27.0000   183.0000     0.0000
 1.000 0.100    25.2936     0.2630    12.0000    21.0000    33.0000   183.0000     0.0000
 1.000 0.080    32.6752     0.3601    15.0000    26.0000    43.0000   240.0000     0.0000
 1.000 0.060    47.9894     0.5841    19.0000    37.0000    64.0000   322.0000     0.0000
 1.000 0.040    79.6628     1.0723    27.0000    57.0000   110.0000   731.0000     0.0000
 1.000 0.020   141.1364     1.9770    42.0000    97.0000   196.0000  1289.0000     0.0000
 0.800 0.200    19.6374     0.1862    10.0000    17.0000    25.0000   140.0000     0.0000
 0.800 0.180    21.5860     0.2082    11.0000    19.0000    28.0000   115.0000     0.0000
 0.800 0.160    24.6268     0.2436    13.0000    21.0000    32.0000   188.0000     0.0000
 0.800 0.140    28.0376     0.2909    14.0000    23.0000    37.0000   179.0000     0.0000
 0.800 0.120    32.5076     0.3377    16.0000    27.0000    43.0000   262.0000     0.0000
 0.800 0.100    38.8274     0.4239    18.0000    31.0000    52.0000   259.0000     0.0000
 0.800 0.080    48.6814     0.5615    21.0000    39.0000    65.0000   335.0000     0.0000
 0.800 0.060    68.3126     0.8396    27.0000    53.0000    90.0000   550.0000     0.0000
 0.800 0.040   101.8548     1.3432    34.0000    73.0000   140.0000   885.0000     0.0000
 0.800 0.020   155.7002     2.2096    47.0000   106.0000   213.0000  1396.0000     0.0000
 0.600 0.200    36.4384     0.4208    16.0000    28.0000    48.0000   283.0000     0.0000
 0.600 0.180    40.6198     0.4774    18.0000    32.0000    54.0000   467.0000     0.0000
 0.600 0.160    46.2204     0.5473    19.0000    36.0000    62.0000   426.0000     0.0000
 0.600 0.140    51.5858     0.6051    21.0000    40.0000    69.0000   333.0000     0.0000
 0.600 0.120    60.8572     0.7547    24.0000    46.0000    81.0000   572.0000     0.0000
 0.600 0.100    72.2044     0.9145    27.0000    53.0000    97.0000   740.0000     0.0000
 0.600 0.080    86.2876     1.1036    31.0000    64.0000   118.0000   686.0000     0.0000
 0.600 0.060   109.4292     1.4446    37.0000    80.0000   147.0000   872.0000     0.0000
 0.600 0.040   140.1922     1.8769    45.0000   103.0000   192.0000  1114.0000     0.0000
 0.600 0.020   173.4096     2.4120    52.0000   122.0000   239.0000  1360.0000     0.0000
 0.400 0.200    83.4170     1.1124    29.0000    60.0000   114.0000   638.0000     0.0000
 0.400 0.180    94.2300     1.2621    32.0000    68.0000   129.0000   763.0000     0.0000
 0.400 0.160    98.8660     1.3586    33.0000    70.0000   132.0000   892.0000     0.0000
 0.400 0.140   111.7960     1.5209    37.0000    79.0000   151.0000   857.0000     0.0000
 0.400 0.120   124.4670     1.7084    40.0000    90.0000   169.0000  1253.0000     0.0000
 0.400 0.100   136.2522     1.8312    44.0000    98.0000   189.0000  1065.0000     0.0000
 0.400 0.080   151.4648     2.1418    43.0000   104.0000   211.0000  1230.0000     0.0000
 0.400 0.060   163.0604     2.2849    48.0000   112.0000   228.0000  1576.0000     0.0000
 0.400 0.040   179.4818     2.5383    52.0000   123.0000   247.0000  1830.0000     0.0000
 0.400 0.020   195.1448     2.7581    54.0000   135.0000   278.0000  1565.0000     0.0000
 0.200 0.200   162.0858     2.2553    48.0000   114.0000   222.0000  1479.0000     0.0000
 0.200 0.180   167.1840     2.3354    49.0000   118.0000   229.0000  1394.0000     0.0000
 0.200 0.160   170.7946     2.4082    48.0000   119.0000   236.0000  1673.0000     0.0000
 0.200 0.140   180.8960     2.5693    53.0000   125.0000   251.0000  1715.0000     0.0000
 0.200 0.120   178.6846     2.5063    52.0000   124.0000   249.0000  1686.0000     0.0000
 0.200 0.100   186.0512     2.6934    52.0000   127.0000   259.0000  1613.0000     0.0000
 0.200 0.080   187.1750     2.6798    54.0000   127.0000   256.0000  1604.0000     0.0000
