Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.578056      188.412000       1052.9080
      3.690958      276.554000       1550.5373
      3.634507      227.237000       1268.1510
      3.606282      203.597000       1167.8258
      3.592169      194.095000       1085.7358
      3.599225      206.997000       1153.6867
      3.595697      196.967000       1100.7633
      3.597461      204.338000       1140.0205
      3.596579      198.711000       1110.4971
 Final Limit:   3.59657922461652       ARL:   198.711000000000     
