Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.000 0.200    10.9850     0.1996     5.0000     8.0000    14.0000    67.0000
 0.950 0.200    12.3090     0.2232     5.0000     9.0000    16.0000    75.0000
 0.900 0.200    13.9735     0.2808     6.0000    10.0000    18.0000   179.0000
 0.850 0.200    14.7160     0.2784     6.0000    11.0000    19.0000   126.0000
 0.800 0.200    17.0145     0.3564     7.0000    12.0000    22.0000   172.0000
 0.750 0.200    19.8745     0.3892     8.0000    15.0000    26.0000   170.0000
 0.700 0.200    21.1890     0.4204     8.0000    16.0000    28.0000   169.0000
 0.650 0.200    24.5490     0.4982    10.0000    18.0000    32.0000   182.0000
 0.600 0.200    29.1490     0.6010    11.0000    21.0000    38.0000   244.0000
 0.550 0.200    35.9455     0.7673    13.0000    25.0000    47.0000   315.0000
 0.500 0.200    42.6225     0.9370    14.0000    30.0000    58.0000   436.0000
 0.450 0.200    53.2710     1.1023    19.0000    39.0000    70.0000   434.0000
 0.400 0.200    66.6515     1.5066    21.0000    46.0000    90.0000   583.0000
 0.350 0.200    87.5170     1.9366    26.0000    59.0000   119.0000   743.0000
 0.300 0.200   108.0675     2.3785    33.0000    76.0000   149.0000   719.0000
 0.250 0.200   134.8990     2.9615    39.0000    95.0000   189.0000  1098.0000
 0.200 0.200   156.4335     3.4764    43.0000   108.0000   219.0000  1157.0000
 0.150 0.200   178.2730     4.1160    48.0000   118.0000   247.0000  1799.0000
 0.100 0.200   192.6900     4.2766    56.0000   134.0000   272.0000  1324.0000
 0.050 0.200   210.0445     4.5730    64.0000   141.0000   291.0000  1466.0000
