Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.150     4.9836     0.0432     3.0000     4.0000     6.0000    45.0000
 1.900 0.150     5.2794     0.0470     3.0000     5.0000     7.0000    40.0000
 1.800 0.150     5.7130     0.0531     3.0000     5.0000     7.0000    58.0000
 1.700 0.150     5.9930     0.0568     3.0000     5.0000     7.0000    71.0000
 1.600 0.150     6.3436     0.0565     4.0000     5.0000     8.0000    46.0000
 1.500 0.150     6.8680     0.0656     4.0000     6.0000     9.0000    63.0000
 1.400 0.150     7.5310     0.0735     4.0000     6.0000    10.0000    72.0000
 1.300 0.150     8.3384     0.0775     5.0000     7.0000    11.0000    66.0000
 1.200 0.150     9.1218     0.0876     5.0000     8.0000    12.0000    90.0000
 1.100 0.150    10.5072     0.1077     5.0000     9.0000    13.0000   101.0000
 1.000 0.150    11.9390     0.1197     6.0000    10.0000    15.0000   118.0000
 0.900 0.150    13.9530     0.1419     7.0000    12.0000    18.0000   123.0000
 0.800 0.150    16.9408     0.1742     8.0000    14.0000    22.0000   149.0000
 0.700 0.150    21.1022     0.2237    10.0000    17.0000    28.0000   141.0000
 0.600 0.150    28.2484     0.3158    13.0000    22.0000    37.0000   199.0000
 0.500 0.150    39.8298     0.4759    17.0000    30.0000    53.0000   317.0000
 0.400 0.150    60.6854     0.7697    23.0000    45.0000    81.0000   532.0000
 0.300 0.150   103.8320     1.3957    35.0000    75.0000   141.0000   859.0000
 0.200 0.150   154.3346     2.2341    43.0000   105.0000   211.0000  1552.0000
 0.100 0.150   190.3224     2.6515    56.0000   132.0000   263.0000  1547.0000
