Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     4.5662     0.0508     2.0000     3.0000     6.0000    40.0000     0.0000
 2.000 0.180     5.2128     0.0583     2.0000     4.0000     7.0000    37.0000     0.0000
 2.000 0.160     6.0454     0.0698     3.0000     4.0000     8.0000    43.0000     0.0000
 2.000 0.140     7.1412     0.0834     3.0000     5.0000     9.0000    61.0000     0.0000
 2.000 0.120     8.7994     0.1019     3.0000     7.0000    12.0000    79.0000     0.0000
 2.000 0.100    11.1878     0.1309     4.0000     9.0000    15.0000    71.0000     0.0000
 2.000 0.080    15.1760     0.1804     6.0000    12.0000    21.0000   149.0000     0.0000
 2.000 0.060    22.9120     0.2886     8.0000    18.0000    31.0000   292.0000     0.0000
 2.000 0.040    40.9412     0.5362    14.0000    30.0000    56.0000   332.0000     0.0000
 2.000 0.020   103.5656     1.4319    31.0000    73.0000   144.0000   786.0000     0.0000
 1.800 0.200     5.1304     0.0571     2.0000     4.0000     7.0000    39.0000     0.0000
 1.800 0.180     5.7438     0.0653     3.0000     4.0000     7.0000    45.0000     0.0000
 1.800 0.160     6.6854     0.0783     3.0000     5.0000     9.0000    57.0000     0.0000
 1.800 0.140     7.8096     0.0939     3.0000     6.0000    10.0000    56.0000     0.0000
 1.800 0.120     9.6722     0.1160     4.0000     7.0000    13.0000    75.0000     0.0000
 1.800 0.100    12.5028     0.1549     5.0000     9.0000    17.0000   112.0000     0.0000
 1.800 0.080    16.9076     0.2087     6.0000    13.0000    23.0000   127.0000     0.0000
 1.800 0.060    25.3790     0.3217     9.0000    19.0000    34.0000   265.0000     0.0000
 1.800 0.040    47.4600     0.6340    16.0000    34.0000    64.0000   361.0000     0.0000
 1.800 0.020   111.3696     1.5644    33.0000    77.0000   154.0000   952.0000     0.0000
 1.600 0.200     5.5706     0.0629     3.0000     4.0000     7.0000    55.0000     0.0000
 1.600 0.180     6.4718     0.0739     3.0000     5.0000     8.0000    46.0000     0.0000
 1.600 0.160     7.4984     0.0904     3.0000     5.0000    10.0000    73.0000     0.0000
 1.600 0.140     9.0100     0.1098     4.0000     7.0000    12.0000    81.0000     0.0000
 1.600 0.120    10.8198     0.1361     4.0000     8.0000    15.0000   171.0000     0.0000
 1.600 0.100    13.9538     0.1764     5.0000    10.0000    19.0000   240.0000     0.0000
 1.600 0.080    19.3144     0.2404     7.0000    14.0000    26.0000   163.0000     0.0000
 1.600 0.060    29.7512     0.3874    10.0000    22.0000    40.0000   234.0000     0.0000
 1.600 0.040    52.0236     0.7031    17.0000    37.0000    71.0000   385.0000     0.0000
 1.600 0.020   119.1052     1.6924    35.0000    85.0000   161.0000  1068.0000     0.0000
 1.400 0.200     6.4602     0.0737     3.0000     5.0000     8.0000    58.0000     0.0000
 1.400 0.180     7.4420     0.0865     3.0000     6.0000    10.0000    70.0000     0.0000
 1.400 0.160     8.6104     0.1046     3.0000     7.0000    11.0000   113.0000     0.0000
 1.400 0.140    10.3582     0.1269     4.0000     8.0000    14.0000   131.0000     0.0000
 1.400 0.120    12.8424     0.1559     5.0000    10.0000    18.0000    88.0000     0.0000
 1.400 0.100    16.7488     0.2108     6.0000    12.0000    23.0000   128.0000     0.0000
 1.400 0.080    23.2782     0.3004     8.0000    17.0000    32.0000   184.0000     0.0000
 1.400 0.060    34.3342     0.4530    12.0000    25.0000    47.0000   265.0000     0.0000
 1.400 0.040    62.1046     0.8525    19.0000    44.0000    85.0000   541.0000     0.0000
 1.400 0.020   126.8112     1.7854    39.0000    88.0000   173.0000   912.0000     0.0000
 1.200 0.200     7.9230     0.0940     3.0000     6.0000    10.0000    76.0000     0.0000
 1.200 0.180     8.9896     0.1068     4.0000     7.0000    12.0000    77.0000     0.0000
 1.200 0.160    10.2860     0.1250     4.0000     8.0000    13.0000    88.0000     0.0000
 1.200 0.140    12.4260     0.1587     5.0000     9.0000    16.0000   133.0000     0.0000
 1.200 0.120    15.6474     0.1936     6.0000    12.0000    21.0000   132.0000     0.0000
 1.200 0.100    20.6706     0.2646     7.0000    15.0000    28.0000   164.0000     0.0000
 1.200 0.080    28.5290     0.3813    10.0000    21.0000    39.0000   302.0000     0.0000
 1.200 0.060    41.7756     0.5656    14.0000    30.0000    57.0000   378.0000     0.0000
 1.200 0.040    72.0976     0.9893    22.0000    51.0000   100.0000   585.0000     0.0000
 1.200 0.020   137.4376     1.8985    40.0000    96.0000   193.0000   985.0000     0.0000
 1.000 0.200     9.7106     0.1171     4.0000     7.0000    12.0000    95.0000     0.0000
 1.000 0.180    11.2446     0.1397     5.0000     8.0000    15.0000   102.0000     0.0000
 1.000 0.160    12.8374     0.1565     5.0000    10.0000    17.0000   118.0000     0.0000
 1.000 0.140    15.4958     0.1994     6.0000    11.0000    20.0000   172.0000     0.0000
 1.000 0.120    19.4310     0.2557     7.0000    14.0000    26.0000   220.0000     0.0000
 1.000 0.100    24.8642     0.3180     9.0000    18.0000    34.0000   188.0000     0.0000
 1.000 0.080    35.1870     0.4761    12.0000    25.0000    48.0000   413.0000     0.0000
 1.000 0.060    50.8906     0.6828    17.0000    37.0000    69.0000   478.0000     0.0000
 1.000 0.040    85.9976     1.2245    26.0000    61.0000   117.0000  1418.0000     0.0000
 1.000 0.020   148.3322     2.0420    45.0000   106.0000   206.0000  1397.0000     0.0000
 0.800 0.200    13.0840     0.1556     6.0000    10.0000    17.0000   125.0000     0.0000
 0.800 0.180    15.0298     0.1843     6.0000    11.0000    20.0000   120.0000     0.0000
 0.800 0.160    17.8044     0.2201     7.0000    13.0000    24.0000   155.0000     0.0000
 0.800 0.140    20.3930     0.2620     7.0000    15.0000    27.0000   154.0000     0.0000
 0.800 0.120    26.1442     0.3546     9.0000    19.0000    34.0000   301.0000     0.0000
 0.800 0.100    33.3040     0.4528    12.0000    24.0000    45.0000   635.0000     0.0000
 0.800 0.080    46.1752     0.6300    15.0000    33.0000    61.0000   410.0000     0.0000
 0.800 0.060    67.3880     0.9527    21.0000    48.0000    92.0000   838.0000     0.0000
 0.800 0.040   106.4620     1.4678    33.0000    76.0000   147.0000  1007.0000     0.0000
 0.800 0.020   162.6086     2.3046    45.0000   113.0000   225.0000  1472.0000     0.0000
 0.600 0.200    19.5024     0.2427     8.0000    14.0000    25.0000   170.0000     0.0000
 0.600 0.180    22.0480     0.2759     9.0000    16.0000    30.0000   267.0000     0.0000
 0.600 0.160    25.6934     0.3338    10.0000    19.0000    34.0000   296.0000     0.0000
 0.600 0.140    31.9458     0.4277    12.0000    23.0000    42.0000   321.0000     0.0000
 0.600 0.120    38.3258     0.5060    14.0000    28.0000    51.0000   357.0000     0.0000
 0.600 0.100    48.9346     0.6525    17.0000    35.0000    67.0000   463.0000     0.0000
 0.600 0.080    64.7920     0.9056    21.0000    45.0000    88.0000  1044.0000     0.0000
 0.600 0.060    91.6192     1.2295    29.0000    64.0000   127.0000   749.0000     0.0000
 0.600 0.040   128.0032     1.7855    40.0000    90.0000   175.0000  1126.0000     0.0000
 0.600 0.020   176.3976     2.5110    53.0000   123.0000   244.0000  2000.0000     0.0000
 0.400 0.200    36.8338     0.4585    14.0000    27.0000    49.0000   317.0000     0.0000
 0.400 0.180    42.9406     0.5539    16.0000    32.0000    57.0000   468.0000     0.0000
 0.400 0.160    48.5456     0.6357    18.0000    35.0000    66.0000   408.0000     0.0000
 0.400 0.140    57.3152     0.7591    21.0000    41.0000    76.0000   472.0000     0.0000
 0.400 0.120    69.7838     0.9330    24.0000    50.0000    95.0000   620.0000     0.0000
 0.400 0.100    83.5772     1.1435    28.0000    59.0000   115.0000  1033.0000     0.0000
 0.400 0.080   102.1132     1.3981    32.0000    71.0000   142.0000  1095.0000     0.0000
 0.400 0.060   131.4514     1.8787    40.0000    91.0000   178.0000  1407.0000     0.0000
 0.400 0.040   162.8694     2.2583    48.0000   115.0000   225.0000  1446.0000     0.0000
 0.400 0.020   192.5996     2.7029    55.0000   133.0000   272.0000  1483.0000     0.0000
 0.200 0.200   116.4454     1.6500    35.0000    81.0000   158.0000  1285.0000     0.0000
 0.200 0.180   124.9488     1.7342    38.0000    87.0000   172.0000  1167.0000     0.0000
 0.200 0.160   140.1530     1.9671    43.0000    96.0000   194.0000  1417.0000     0.0000
 0.200 0.140   147.2882     2.0458    43.0000   103.0000   205.0000  1530.0000     0.0000
 0.200 0.120   158.3418     2.2418    48.0000   108.0000   221.0000  1557.0000     0.0000
 0.200 0.100   167.7360     2.3492    50.0000   117.0000   230.0000  1487.0000     0.0000
 0.200 0.080   181.4926     2.5733    53.0000   123.0000   248.0000  1464.0000     0.0000
 0.200 0.060   189.0150     2.7119    53.0000   128.0000   260.0000  1810.0000     0.0000
 0.200 0.040   198.0630     2.8407    57.0000   137.0000   275.0000  2000.0000     0.0000
 0.200 0.020   206.5142     2.8532    61.0000   146.0000   287.0000  2000.0000     0.0000
