Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 1.500 0.200     6.4428     0.0766     3.0000     5.0000     8.0000    61.0000
 1.500 0.190     6.9904     0.0844     3.0000     5.0000     9.0000    67.0000
 1.500 0.180     7.5592     0.0919     3.0000     5.0000    10.0000    65.0000
 1.500 0.170     8.0118     0.0973     3.0000     6.0000    11.0000    56.0000
 1.500 0.160     8.7796     0.1110     3.0000     6.0000    12.0000    82.0000
 1.500 0.150     9.5656     0.1216     4.0000     7.0000    13.0000   110.0000
 1.500 0.140    10.4918     0.1304     4.0000     8.0000    14.0000    86.0000
 1.500 0.130    11.2610     0.1387     4.0000     8.0000    15.0000   110.0000
 1.500 0.120    12.9176     0.1618     5.0000    10.0000    17.0000   110.0000
 1.500 0.110    14.6414     0.1842     5.0000    11.0000    20.0000   106.0000
 1.500 0.100    16.6540     0.2093     6.0000    12.0000    23.0000   141.0000
 1.500 0.090    19.4386     0.2511     7.0000    15.0000    26.0000   228.0000
 1.500 0.080    23.1070     0.3013     8.0000    17.0000    31.0000   293.0000
 1.500 0.070    27.5132     0.3640    10.0000    20.0000    37.0000   331.0000
 1.500 0.060    34.3592     0.4571    12.0000    25.0000    47.0000   304.0000
 1.500 0.050    45.1468     0.6074    15.0000    32.0000    61.0000   457.0000
 1.500 0.040    60.3058     0.8281    20.0000    43.0000    83.0000   522.0000
 1.500 0.030    83.9290     1.1577    26.0000    61.0000   115.0000   710.0000
 1.500 0.020   124.1202     1.7675    35.0000    84.0000   173.0000   991.0000
 1.500 0.010   173.8044     2.4369    51.0000   122.0000   240.0000  2000.0000
