Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     6.9240     0.0821     3.0000     5.0000     9.0000    50.0000
 2.000 0.190     7.4680     0.0885     3.0000     6.0000    10.0000    67.0000
 2.000 0.180     7.9992     0.0968     3.0000     6.0000    11.0000    85.0000
 2.000 0.170     8.6716     0.1014     3.0000     7.0000    12.0000    78.0000
 2.000 0.160     9.1088     0.1072     4.0000     7.0000    12.0000    64.0000
 2.000 0.150    10.0816     0.1194     4.0000     8.0000    14.0000    93.0000
 2.000 0.140    10.9232     0.1314     4.0000     8.0000    15.0000    81.0000
 2.000 0.130    12.2864     0.1575     5.0000     9.0000    17.0000   213.0000
 2.000 0.120    13.4954     0.1663     5.0000    10.0000    18.0000   113.0000
 2.000 0.110    14.9818     0.1836     6.0000    11.0000    21.0000   131.0000
 2.000 0.100    17.2404     0.2088     6.0000    13.0000    24.0000   150.0000
 2.000 0.090    20.1090     0.2528     7.0000    15.0000    27.0000   189.0000
 2.000 0.080    23.0812     0.2800     9.0000    18.0000    32.0000   163.0000
 2.000 0.070    29.3290     0.3679    11.0000    23.0000    40.0000   202.0000
 2.000 0.060    35.9936     0.4656    13.0000    28.0000    47.0000   372.0000
 2.000 0.050    47.8036     0.6333    16.0000    35.0000    66.0000   439.0000
 2.000 0.040    66.0554     0.9216    20.0000    47.0000    90.0000   669.0000
 2.000 0.030    95.1740     1.3005    29.0000    67.0000   130.0000   991.0000
 2.000 0.020   136.6038     1.9399    40.0000    94.0000   190.0000  1062.0000
 2.000 0.010   175.0110     2.4909    50.0000   120.0000   243.0000  1801.0000
