Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      8.250000      479.776200       3731.3330
      7.875000      327.737400       2576.3792
      8.062500      395.691600       3091.9563
      7.968750      356.712000       2786.0742
      8.015625      366.657600       2866.1319
      8.039062      388.137400       3034.7918
      8.027344      375.017000       2933.0798
      8.021484      379.821400       2973.9780
      8.018555      372.155000       2914.1391
 Final Limit:   8.01855468750000       ARL:   372.155000000000     
