Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 2.000 0.050 1.000     6.2162     0.0582     3.0000     5.0000     8.0000    34.0000     0.0000
 2.000 0.050 0.950     6.1886     0.0569     3.0000     5.0000     8.0000    37.0000     0.0000
 2.000 0.050 0.900     6.0282     0.0547     3.0000     5.0000     8.0000    32.0000     0.0000
 2.000 0.050 0.850     6.1368     0.0575     3.0000     5.0000     8.0000    53.0000     0.0000
 2.000 0.050 0.800     6.2246     0.0588     3.0000     5.0000     8.0000    60.0000     0.0000
 2.000 0.050 0.750     6.2392     0.0583     3.0000     5.0000     8.0000    39.0000     0.0000
 2.000 0.050 0.700     6.1740     0.0582     3.0000     5.0000     8.0000    34.0000     0.0000
 2.000 0.050 0.650     6.1168     0.0564     3.0000     5.0000     8.0000    35.0000     0.0000
 2.000 0.050 0.600     6.3322     0.0602     3.0000     5.0000     8.0000    44.0000     0.0000
 2.000 0.050 0.550     6.2260     0.0586     3.0000     5.0000     8.0000    42.0000     0.0000
 2.000 0.050 0.500     6.1766     0.0571     3.0000     5.0000     8.0000    50.0000     0.0000
 2.000 0.050 0.450     6.2402     0.0580     3.0000     5.0000     8.0000    39.0000     0.0000
 2.000 0.050 0.400     6.4068     0.0615     3.0000     5.0000     8.0000    39.0000     0.0000
 2.000 0.050 0.350     6.1916     0.0571     3.0000     5.0000     8.0000    30.0000     0.0000
 2.000 0.050 0.300     6.2958     0.0604     3.0000     5.0000     8.0000    57.0000     0.0000
 2.000 0.050 0.250     6.3756     0.0600     3.0000     5.0000     8.0000    37.0000     0.0000
 2.000 0.050 0.200     6.4270     0.0632     3.0000     5.0000     8.0000    39.0000     0.0000
 2.000 0.050 0.150     6.6340     0.0643     3.0000     5.0000     9.0000    42.0000     0.0000
 2.000 0.050 0.100     6.9034     0.0702     3.0000     6.0000     9.0000    48.0000     0.0000
 2.000 0.050 0.050     7.5522     0.0819     4.0000     6.0000    10.0000    54.0000     0.0000
 2.000 0.040 1.000     7.0726     0.0734     4.0000     6.0000     9.0000    87.0000     0.0000
 2.000 0.040 0.950     6.9664     0.0679     4.0000     6.0000     9.0000    71.0000     0.0000
 2.000 0.040 0.900     7.1230     0.0704     4.0000     6.0000     9.0000    62.0000     0.0000
 2.000 0.040 0.850     6.8876     0.0663     3.0000     6.0000     9.0000    44.0000     0.0000
 2.000 0.040 0.800     6.9638     0.0653     4.0000     6.0000     9.0000    48.0000     0.0000
 2.000 0.040 0.750     7.0788     0.0676     4.0000     6.0000     9.0000    45.0000     0.0000
 2.000 0.040 0.700     7.0746     0.0699     4.0000     6.0000     9.0000    56.0000     0.0000
 2.000 0.040 0.650     6.9932     0.0701     3.0000     6.0000     9.0000    57.0000     0.0000
 2.000 0.040 0.600     7.0486     0.0679     4.0000     6.0000     9.0000    50.0000     0.0000
 2.000 0.040 0.550     7.1324     0.0700     4.0000     6.0000     9.0000    72.0000     0.0000
 2.000 0.040 0.500     7.0318     0.0688     4.0000     6.0000     9.0000    53.0000     0.0000
 2.000 0.040 0.450     7.1116     0.0681     4.0000     6.0000     9.0000    57.0000     0.0000
 2.000 0.040 0.400     7.0838     0.0676     4.0000     6.0000     9.0000    43.0000     0.0000
 2.000 0.040 0.350     7.2534     0.0715     4.0000     6.0000    10.0000    50.0000     0.0000
 2.000 0.040 0.300     7.1794     0.0712     4.0000     6.0000     9.0000    54.0000     0.0000
 2.000 0.040 0.250     7.2248     0.0708     4.0000     6.0000    10.0000    52.0000     0.0000
 2.000 0.040 0.200     7.3056     0.0750     4.0000     6.0000    10.0000    65.0000     0.0000
 2.000 0.040 0.150     7.6964     0.0801     4.0000     6.0000    10.0000    59.0000     0.0000
 2.000 0.040 0.100     7.7946     0.0829     4.0000     6.0000    10.0000   114.0000     0.0000
 2.000 0.040 0.050     8.6966     0.0981     4.0000     7.0000    11.0000    66.0000     0.0000
 2.000 0.030 1.000     8.3688     0.0850     4.0000     7.0000    11.0000    55.0000     0.0000
