Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.600000      337.245400         31.1581
      3.700000      469.643600         43.4698
      3.650000      404.735200         37.3638
      3.625000      360.944400         33.3501
      3.637500      390.138800         36.0772
      3.631250      378.579200         34.9936
      3.628125      376.090000         34.7779
      3.626562      364.648800         33.7654
      3.627344      372.195200         34.4810
 Final Limit:   3.62734375000000       ARL:   372.195200000000     
