Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
     25.000000      188.965200         91.4514
     27.500000      313.848400        151.2908
     28.750000      397.130400        191.4284
     28.125000      348.919200        168.2255
     28.437500      362.877400        174.8959
     28.593750      382.483800        184.1952
     28.515625      378.191400        182.4778
     28.476562      373.490600        180.1759
     28.457031      375.413000        181.4027
     28.447266      367.821800        177.3486
 Final Limit:   28.4472656250000       ARL:   367.821800000000     
