Iter_Limit,  Result_ARL,  Total_Calc_Time(s)
      3.598070      365.531600       1713.5702
      3.643472      419.808200       1958.4197
      3.620771      390.210200       1818.8641
      3.609421      376.581800       1754.9988
      3.603745      365.876000       1705.2738
      3.606583      382.933600       1783.1211
      3.605164      377.275400       1757.5083
      3.604455      374.689000       1745.2990
      3.604100      379.379600       1767.1618
      3.603923      369.707800       1720.9621
 Final Limit:   3.60392264899071       ARL:   369.707800000000     
