Shift TestRadius  ARL  Std  Q1  Med  Q3  Max
 2.000 0.200     5.4622     0.0678     2.0000     4.0000     7.0000    48.0000     0.0000
 2.000 0.180     6.0914     0.0719     2.0000     4.0000     8.0000    40.0000     0.0000
 2.000 0.160     7.1604     0.0874     3.0000     5.0000     9.0000    54.0000     0.0000
 2.000 0.140     8.4768     0.1050     3.0000     6.0000    11.0000    58.0000     0.0000
 2.000 0.120    10.0804     0.1200     4.0000     8.0000    14.0000    82.0000     0.0000
 2.000 0.100    12.9788     0.1616     5.0000    10.0000    18.0000   107.0000     0.0000
 2.000 0.080    18.3830     0.2245     7.0000    14.0000    25.0000   149.0000     0.0000
 2.000 0.060    27.7826     0.3635    10.0000    21.0000    38.0000   342.0000     0.0000
 2.000 0.040    51.4420     0.6984    17.0000    37.0000    71.0000   537.0000     0.0000
 2.000 0.020   116.7640     1.6314    34.0000    81.0000   163.0000   856.0000     0.0000
 1.800 0.200     5.8816     0.0717     2.0000     4.0000     8.0000    67.0000     0.0000
 1.800 0.180     6.6784     0.0823     3.0000     5.0000     9.0000    60.0000     0.0000
 1.800 0.160     7.6944     0.0952     3.0000     6.0000    10.0000    91.0000     0.0000
 1.800 0.140     9.0104     0.1103     3.0000     7.0000    12.0000    71.0000     0.0000
 1.800 0.120    11.4964     0.1418     4.0000     9.0000    16.0000   107.0000     0.0000
 1.800 0.100    14.6430     0.1802     5.0000    11.0000    20.0000   163.0000     0.0000
 1.800 0.080    20.0630     0.2613     7.0000    15.0000    27.0000   206.0000     0.0000
 1.800 0.060    30.5514     0.4045    10.0000    23.0000    41.0000   259.0000     0.0000
 1.800 0.040    56.9468     0.8130    18.0000    40.0000    75.0000   506.0000     0.0000
 1.800 0.020   118.4980     1.6917    33.0000    81.0000   162.0000  1107.0000     0.0000
 1.600 0.200     6.4400     0.0798     3.0000     5.0000     8.0000    56.0000     0.0000
 1.600 0.180     7.4954     0.0924     3.0000     5.0000    10.0000    59.0000     0.0000
 1.600 0.160     8.4906     0.1029     3.0000     6.0000    11.0000    70.0000     0.0000
 1.600 0.140    10.1568     0.1313     4.0000     7.0000    14.0000   106.0000     0.0000
 1.600 0.120    12.5378     0.1549     5.0000     9.0000    17.0000   118.0000     0.0000
 1.600 0.100    16.4134     0.2092     6.0000    12.0000    23.0000   154.0000     0.0000
 1.600 0.080    22.7736     0.3044     8.0000    17.0000    31.0000   256.0000     0.0000
 1.600 0.060    35.0796     0.4711    12.0000    26.0000    48.0000   369.0000     0.0000
 1.600 0.040    61.5944     0.8338    20.0000    45.0000    84.0000   587.0000     0.0000
 1.600 0.020   126.9802     1.7911    38.0000    87.0000   173.0000  1034.0000     0.0000
 1.400 0.200     7.3418     0.0901     3.0000     5.0000    10.0000    63.0000     0.0000
 1.400 0.180     8.4340     0.1029     3.0000     6.0000    11.0000    62.0000     0.0000
 1.400 0.160     9.8854     0.1240     4.0000     7.0000    13.0000    93.0000     0.0000
 1.400 0.140    11.8778     0.1483     4.0000     9.0000    16.0000    94.0000     0.0000
 1.400 0.120    14.4250     0.1895     5.0000    10.0000    20.0000   154.0000     0.0000
 1.400 0.100    18.8294     0.2426     7.0000    14.0000    26.0000   202.0000     0.0000
 1.400 0.080    26.3140     0.3609     9.0000    19.0000    35.0000   265.0000     0.0000
 1.400 0.060    40.0922     0.5550    13.0000    28.0000    54.0000   399.0000     0.0000
 1.400 0.040    68.9168     0.9678    21.0000    48.0000    95.0000   860.0000     0.0000
 1.400 0.020   130.9614     1.8516    37.0000    92.0000   183.0000  1277.0000     0.0000
 1.200 0.200     8.6624     0.1076     4.0000     6.0000    11.0000    82.0000     0.0000
 1.200 0.180     9.9924     0.1243     4.0000     7.0000    13.0000    91.0000     0.0000
 1.200 0.160    11.6240     0.1479     4.0000     8.0000    15.0000   122.0000     0.0000
 1.200 0.140    13.4958     0.1744     5.0000    10.0000    18.0000   140.0000     0.0000
 1.200 0.120    17.1242     0.2290     6.0000    13.0000    23.0000   250.0000     0.0000
 1.200 0.100    23.2408     0.3132     8.0000    17.0000    31.0000   243.0000     0.0000
 1.200 0.080    31.8968     0.4322    11.0000    23.0000    43.0000   324.0000     0.0000
 1.200 0.060    48.3140     0.6856    15.0000    34.0000    67.0000   581.0000     0.0000
 1.200 0.040    77.9762     1.0726    24.0000    54.0000   106.0000   614.0000     0.0000
 1.200 0.020   141.3408     1.9916    42.0000    97.0000   194.0000  1150.0000     0.0000
 1.000 0.200    10.7048     0.1415     4.0000     8.0000    14.0000   113.0000     0.0000
 1.000 0.180    12.4716     0.1560     5.0000     9.0000    17.0000   139.0000     0.0000
 1.000 0.160    14.1644     0.1815     5.0000    10.0000    19.0000   111.0000     0.0000
 1.000 0.140    17.2802     0.2284     6.0000    12.0000    23.0000   209.0000     0.0000
 1.000 0.120    22.1858     0.3091     7.0000    16.0000    30.0000   322.0000     0.0000
 1.000 0.100    27.1302     0.3609     9.0000    20.0000    37.0000   250.0000     0.0000
 1.000 0.080    38.4862     0.5053    13.0000    27.0000    52.0000   261.0000     0.0000
 1.000 0.060    55.6754     0.7576    17.0000    39.0000    77.0000   448.0000     0.0000
 1.000 0.040    88.9202     1.2320    27.0000    62.0000   123.0000   663.0000     0.0000
 1.000 0.020   150.2012     2.1694    40.0000   104.0000   211.0000  1597.0000     0.0000
 0.800 0.200    13.7604     0.1759     5.0000    10.0000    18.0000   120.0000     0.0000
 0.800 0.180    16.0338     0.2049     6.0000    12.0000    21.0000   154.0000     0.0000
 0.800 0.160    18.6192     0.2485     7.0000    13.0000    24.0000   210.0000     0.0000
 0.800 0.140    23.0928     0.3143     8.0000    16.0000    31.0000   233.0000     0.0000
 0.800 0.120    27.8610     0.3889     9.0000    19.0000    37.0000   362.0000     0.0000
 0.800 0.100    35.9566     0.4845    12.0000    26.0000    49.0000   371.0000     0.0000
 0.800 0.080    50.4216     0.7005    16.0000    35.0000    69.0000   557.0000     0.0000
 0.800 0.060    69.5094     0.9327    22.0000    49.0000    96.0000   600.0000     0.0000
 0.800 0.040   104.8956     1.4558    31.0000    74.0000   144.0000   805.0000     0.0000
 0.800 0.020   155.9128     2.1883    45.0000   107.0000   218.0000  1366.0000     0.0000
 0.600 0.200    19.7626     0.2535     8.0000    14.0000    26.0000   198.0000     0.0000
 0.600 0.180    22.6606     0.2896     9.0000    16.0000    30.0000   214.0000     0.0000
 0.600 0.160    26.1722     0.3402    10.0000    19.0000    34.0000   290.0000     0.0000
 0.600 0.140    31.9894     0.4235    11.0000    23.0000    42.0000   252.0000     0.0000
 0.600 0.120    38.5810     0.5211    13.0000    27.0000    52.0000   298.0000     0.0000
 0.600 0.100    48.9498     0.6714    16.0000    35.0000    67.0000   529.0000     0.0000
 0.600 0.080    64.8356     0.8981    21.0000    45.0000    89.0000   773.0000     0.0000
 0.600 0.060    88.0940     1.2177    26.0000    61.0000   122.0000   664.0000     0.0000
 0.600 0.040   124.3914     1.7448    36.0000    86.0000   173.0000  1116.0000     0.0000
 0.600 0.020   171.6110     2.4483    49.0000   118.0000   234.0000  1744.0000     0.0000
 0.400 0.200    34.1130     0.4355    13.0000    25.0000    45.0000   373.0000     0.0000
 0.400 0.180    38.7664     0.5032    15.0000    28.0000    51.0000   501.0000     0.0000
 0.400 0.160    44.5880     0.5820    16.0000    33.0000    59.0000   403.0000     0.0000
 0.400 0.140    52.1158     0.6840    19.0000    38.0000    71.0000   500.0000     0.0000
 0.400 0.120    63.9274     0.8585    22.0000    45.0000    86.0000   494.0000     0.0000
